"","date","count","lang","page","rank","month","title"
"85",2008-03-25,1779,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"88",2008-03-26,1709,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"87",2008-03-27,1547,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"90",2008-03-28,1575,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"89",2008-03-29,1714,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"71",2008-03-30,1742,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"70",2008-03-31,2179,"en","Shahid_Kapoor","2950","200803","Shahid_Kapoor"
"118",2008-04-01,1702,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"116",2008-04-02,1569,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"117",2008-04-03,1541,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"114",2008-04-04,1651,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"115",2008-04-05,1853,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"112",2008-04-06,1974,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"113",2008-04-07,1807,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"119",2008-04-08,1632,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"120",2008-04-09,1447,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"97",2008-04-10,1479,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"96",2008-04-11,1480,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"99",2008-04-12,1479,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"98",2008-04-13,1619,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"93",2008-04-14,1460,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"92",2008-04-15,1575,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"95",2008-04-16,1824,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"94",2008-04-17,1571,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"101",2008-04-18,1706,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"100",2008-04-19,1736,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"104",2008-04-20,1861,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"105",2008-04-21,1858,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"106",2008-04-22,1544,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"107",2008-04-23,1494,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"108",2008-04-24,1380,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"109",2008-04-25,1740,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
"110",2008-04-26,1858,"en","Shahid_Kapoor","2950","200804","Shahid_Kapoor"
